Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-07-19,31.51,32.05,31.46,31.9,21567937.0,0.0,1.0,29.887189548547887,30.399378769627408,29.839764620670152,30.257103985994206,21567937.0
2017-07-18,31.41,31.51,31.17,31.51,15530723.0,0.0,1.0,29.792339692792417,29.887189548547887,29.564700038979296,29.887189548547887,15530723.0
2017-07-17,31.5,31.635,31.45,31.5,16427499.0,0.0,1.0,29.877704562972337,30.00575186824222,29.830279635094602,29.877704562972337,16427499.0
2017-07-14,31.37,31.45,31.27,31.42,13573117.0,0.0,1.0,29.75439975049023,29.830279635094602,29.659549894734763,29.801824678367964,13573117.0
2017-07-13,31.26,31.28,31.08,31.27,15934187.0,0.0,1.0,29.650064909159216,29.66903488031031,29.47933516879937,29.659549894734763,15934187.0
2017-07-12,31.25,31.44,31.145,31.16,18586175.0,0.0,1.0,29.64057992358367,29.82079464951906,29.540987575040425,29.555215053403746,18586175.0
2017-07-11,31.05,31.12,30.86,31.09,12805956.0,0.0,1.0,29.450880212072732,29.51727511110156,29.270665486137343,29.48882015437492,12805956.0
2017-07-10,30.88,31.09,30.82,30.98,15528778.0,0.0,1.0,29.289635457288437,29.48882015437492,29.23272554383516,29.384485313043907,15528778.0
2017-07-07,30.76,31.07,30.75,30.9,15860596.0,0.0,1.0,29.175815630381877,29.469850183223826,29.16633064480633,29.30860542843953,15860596.0
2017-07-06,30.99,31.02,30.67,30.72,20789117.0,0.0,1.0,29.39397029861945,29.42242525534609,29.090450760201957,29.13787568807969,20789117.0
2017-07-05,30.85,31.27,30.73,31.11,24270320.0,0.29,1.0,29.2611805005618,29.659549894734763,29.147360673655236,29.507790125526014,24270320.0
2017-07-03,31.09,31.64,31.03,31.33,14112100.0,0.0,1.0,29.216471178426872,29.733327374893094,29.160086866085102,29.442008427793947,14112100.0
2017-06-30,31.79,31.79,31.3,31.3,23604639.0,0.0,1.0,29.874288155747514,29.874288155747514,29.413816271623066,29.413816271623066,23604639.0
2017-06-29,31.79,32.025,31.25,31.41,27664454.0,0.0,1.0,29.874288155747514,30.095126712419443,29.36682934467159,29.517187510916308,27664454.0
2017-06-28,31.78,32.275,31.76,32.08,17732307.0,0.0,1.0,29.86489077035722,30.330061347176816,29.846095999576633,30.146812332066066,17732307.0
2017-06-27,32.09,32.26,31.76,31.76,23224246.0,0.0,1.0,30.156209717456367,30.315965269091375,29.846095999576633,29.846095999576633,23224246.0
2017-06-26,32.22,32.5,32.18,32.24,22174963.0,0.0,1.0,30.278375727530197,30.541502518458454,30.240786185969018,30.297170498310788,22174963.0
2017-06-23,31.85,32.3,31.75,32.09,25792153.0,0.0,1.0,29.930672468089288,30.353554810652554,29.836698614186336,30.156209717456367,25792153.0
2017-06-22,31.91,32.0,31.7,31.85,19436616.0,0.0,1.0,29.987056780431054,30.07163324894371,29.78971168723486,29.930672468089288,19436616.0
2017-06-21,31.73,31.87,31.51,31.84,20386074.0,0.0,1.0,29.817903843405748,29.949467238869875,29.61116136481926,29.92127508269899,20386074.0
2017-06-20,31.94,32.16,31.84,31.85,18190130.0,0.0,1.0,30.01524893660194,30.221991415188423,29.92127508269899,29.930672468089288,18190130.0
2017-06-19,31.77,32.02,31.581,31.99,18459210.0,0.0,1.0,29.855493384966927,30.0904280197243,29.67788280109035,30.06223586355341,18459210.0
2017-06-16,31.61,31.64,31.2,31.63,36367419.0,0.0,1.0,29.705135218722205,29.733327374893094,29.319842417720114,29.723929989502796,36367419.0
2017-06-15,31.25,31.64,31.22,31.58,19327991.0,0.0,1.0,29.36682934467159,29.733327374893094,29.338637188500705,29.67694306255132,19327991.0
2017-06-14,31.87,31.97,31.33,31.6,24940406.0,0.0,1.0,29.949467238869875,30.043441092772824,29.442008427793947,29.695737833331915,24940406.0
2017-06-13,31.3,31.8,31.28,31.7,27781044.0,0.0,1.0,29.413816271623066,29.88368554113781,29.395021500842475,29.78971168723486,27781044.0
2017-06-12,31.34,31.64,31.15,31.25,25784435.0,0.0,1.0,29.451405813184245,29.733327374893094,29.27285549076864,29.36682934467159,25784435.0
2017-06-09,31.64,31.83,31.085,31.37,25376559.0,0.0,1.0,29.733327374893094,29.911877697308693,29.211772485731725,29.47959796935513,25376559.0
2017-06-08,31.53,31.81,31.52,31.61,21828614.0,0.0,1.0,29.629956135599848,29.893082926528106,29.620558750209554,29.705135218722205,21828614.0
2017-06-07,31.61,31.72,31.44,31.61,14948437.0,0.0,1.0,29.705135218722205,29.80850645801545,29.545379667087197,29.705135218722205,14948437.0
2017-06-06,31.75,31.76,31.5,31.56,16186562.0,0.0,1.0,29.836698614186336,29.846095999576633,29.601763979428963,29.658148291770733,16186562.0
2017-06-05,32.05,32.05,31.57,31.76,15975981.0,0.0,1.0,30.11862017589518,30.11862017589518,29.667545677161026,29.846095999576633,15975981.0
2017-06-02,31.93,32.06,31.68,31.98,20085192.0,0.0,1.0,30.005851551211645,30.128017561285482,29.770916916454272,30.052838478163117,20085192.0
2017-06-01,31.52,31.82,31.47,31.82,15525451.0,0.0,1.0,29.620558750209554,29.9024803119184,29.573571823258078,29.9024803119184,15525451.0
2017-05-31,31.78,31.89,31.465,31.53,30196715.0,0.0,1.0,29.86489077035722,29.968262009650466,29.56887313056293,29.629956135599848,30196715.0
